Sequence_ID	Header	Length	Sequence_Type
g18417.t1	g18417.t1	179	PROTEIN
g18418.t1	g18418.t1	117	PROTEIN
g18419.t1	g18419.t1	139	PROTEIN
g18420.t1	g18420.t1	146	PROTEIN
g18421.t1	g18421.t1	91	PROTEIN
g18422.t1	g18422.t1	96	PROTEIN
g18423.t1	g18423.t1	204	PROTEIN
g18424.t1	g18424.t1	911	PROTEIN
g18425.t1	g18425.t1	110	PROTEIN
g18426.t1	g18426.t1	934	PROTEIN
g18427.t1	g18427.t1	112	PROTEIN
g18428.t1	g18428.t1	301	PROTEIN
g18429.t1	g18429.t1	525	PROTEIN
g18430.t1	g18430.t1	564	PROTEIN
g18431.t1	g18431.t1	167	PROTEIN
g18432.t1	g18432.t1	133	PROTEIN
g18433.t1	g18433.t1	109	PROTEIN
g18434.t1	g18434.t1	80	PROTEIN
g18435.t1	g18435.t1	272	PROTEIN
g18436.t1	g18436.t1	138	PROTEIN
g18437.t1	g18437.t1	116	PROTEIN
g18438.t1	g18438.t1	125	PROTEIN
g18439.t1	g18439.t1	78	PROTEIN
g18440.t1	g18440.t1	121	PROTEIN
g18441.t1	g18441.t1	253	PROTEIN
g18442.t1	g18442.t1	217	PROTEIN
g18443.t1	g18443.t1	104	PROTEIN
g18444.t1	g18444.t1	152	PROTEIN
g18445.t1	g18445.t1	157	PROTEIN
g18446.t1	g18446.t1	191	PROTEIN
g18447.t1	g18447.t1	185	PROTEIN
g18448.t1	g18448.t1	685	PROTEIN
g18449.t1	g18449.t1	169	PROTEIN
g18450.t1	g18450.t1	446	PROTEIN
g18451.t1	g18451.t1	104	PROTEIN
g18452.t1	g18452.t1	139	PROTEIN
g18453.t1	g18453.t1	73	PROTEIN
g18454.t1	g18454.t1	147	PROTEIN
g18455.t1	g18455.t1	130	PROTEIN
g18456.t1	g18456.t1	83	PROTEIN
g18457.t1	g18457.t1	396	PROTEIN
g18458.t1	g18458.t1	169	PROTEIN
g18459.t1	g18459.t1	227	PROTEIN
g18460.t1	g18460.t1	70	PROTEIN
g18461.t1	g18461.t1	273	PROTEIN
g18462.t1	g18462.t1	1534	PROTEIN
g18463.t1	g18463.t1	94	PROTEIN
g18464.t1	g18464.t1	170	PROTEIN
g18465.t1	g18465.t1	68	PROTEIN
g18466.t1	g18466.t1	551	PROTEIN
g18467.t1	g18467.t1	551	PROTEIN
g18468.t1	g18468.t1	950	PROTEIN
g18469.t1	g18469.t1	411	PROTEIN
g18470.t1	g18470.t1	195	PROTEIN
g18471.t1	g18471.t1	1005	PROTEIN
g18472.t2	g18472.t2	1287	PROTEIN
g18473.t1	g18473.t1	375	PROTEIN
g18474.t1	g18474.t1	546	PROTEIN
g18475.t1	g18475.t1	318	PROTEIN
g18476.t1	g18476.t1	368	PROTEIN
g18477.t1	g18477.t1	900	PROTEIN
g18478.t1	g18478.t1	135	PROTEIN
g18479.t1	g18479.t1	93	PROTEIN
g18480.t2	g18480.t2	434	PROTEIN
g18481.t1	g18481.t1	264	PROTEIN
g18482.t1	g18482.t1	531	PROTEIN
g18483.t1	g18483.t1	318	PROTEIN
g18484.t1	g18484.t1	500	PROTEIN
g18485.t1	g18485.t1	266	PROTEIN
g18486.t1	g18486.t1	187	PROTEIN
g18487.t1	g18487.t1	382	PROTEIN
g18488.t1	g18488.t1	81	PROTEIN
g18489.t1	g18489.t1	438	PROTEIN
g18490.t1	g18490.t1	395	PROTEIN
g18491.t1	g18491.t1	99	PROTEIN
g18492.t1	g18492.t1	73	PROTEIN
g18493.t1	g18493.t1	121	PROTEIN
g18494.t1	g18494.t1	235	PROTEIN
g18495.t1	g18495.t1	103	PROTEIN
g18496.t1	g18496.t1	269	PROTEIN
g18497.t1	g18497.t1	781	PROTEIN
g18498.t2	g18498.t2	838	PROTEIN
g18499.t1	g18499.t1	174	PROTEIN
g18500.t1	g18500.t1	848	PROTEIN
g18501.t1	g18501.t1	77	PROTEIN
g18502.t1	g18502.t1	361	PROTEIN
g18503.t1	g18503.t1	315	PROTEIN
g18504.t1	g18504.t1	371	PROTEIN
g18505.t1	g18505.t1	168	PROTEIN
g18506.t1	g18506.t1	249	PROTEIN
g18507.t2	g18507.t2	838	PROTEIN
g18508.t1	g18508.t1	722	PROTEIN
g18509.t1	g18509.t1	108	PROTEIN
g18510.t1	g18510.t1	982	PROTEIN
g18511.t1	g18511.t1	405	PROTEIN
g18512.t1	g18512.t1	670	PROTEIN
g18513.t1	g18513.t1	430	PROTEIN
g18514.t1	g18514.t1	697	PROTEIN
g18515.t2	g18515.t2	856	PROTEIN
g18516.t1	g18516.t1	99	PROTEIN
g18517.t1	g18517.t1	894	PROTEIN
g18518.t1	g18518.t1	202	PROTEIN
g18519.t1	g18519.t1	724	PROTEIN
g18520.t1	g18520.t1	276	PROTEIN
g18521.t1	g18521.t1	246	PROTEIN
g18522.t1	g18522.t1	125	PROTEIN
g18523.t1	g18523.t1	531	PROTEIN
g18524.t1	g18524.t1	163	PROTEIN
g18525.t1	g18525.t1	128	PROTEIN
g18526.t1	g18526.t1	941	PROTEIN
g18527.t1	g18527.t1	446	PROTEIN
g18528.t1	g18528.t1	196	PROTEIN
g18529.t1	g18529.t1	530	PROTEIN
g18530.t1	g18530.t1	1903	PROTEIN
g18531.t1	g18531.t1	500	PROTEIN
g18532.t1	g18532.t1	463	PROTEIN
g18533.t1	g18533.t1	255	PROTEIN
g18534.t1	g18534.t1	547	PROTEIN
g18535.t1	g18535.t1	318	PROTEIN
g18536.t1	g18536.t1	74	PROTEIN
g18537.t1	g18537.t1	457	PROTEIN
g18538.t1	g18538.t1	143	PROTEIN
g18539.t1	g18539.t1	114	PROTEIN
g18540.t1	g18540.t1	208	PROTEIN
g18541.t1	g18541.t1	285	PROTEIN
g18542.t1	g18542.t1	641	PROTEIN
g18543.t1	g18543.t1	161	PROTEIN
g18544.t1	g18544.t1	73	PROTEIN
g18545.t1	g18545.t1	217	PROTEIN
g18546.t1	g18546.t1	250	PROTEIN
g18547.t1	g18547.t1	246	PROTEIN
g18548.t1	g18548.t1	107	PROTEIN
g18549.t1	g18549.t1	2876	PROTEIN
g18550.t1	g18550.t1	583	PROTEIN
g18551.t1	g18551.t1	97	PROTEIN
g18552.t1	g18552.t1	280	PROTEIN
g18553.t1	g18553.t1	674	PROTEIN
g18554.t1	g18554.t1	125	PROTEIN
g18555.t1	g18555.t1	462	PROTEIN
g18556.t1	g18556.t1	1363	PROTEIN
g18557.t1	g18557.t1	603	PROTEIN
g18558.t1	g18558.t1	80	PROTEIN
g18559.t2	g18559.t2	1051	PROTEIN
g18560.t1	g18560.t1	239	PROTEIN
g18561.t1	g18561.t1	79	PROTEIN
g18562.t1	g18562.t1	221	PROTEIN
g18563.t1	g18563.t1	149	PROTEIN
g18564.t2	g18564.t2	1526	PROTEIN
g18565.t1	g18565.t1	137	PROTEIN
g18566.t1	g18566.t1	624	PROTEIN
g18567.t1	g18567.t1	207	PROTEIN
g18568.t1	g18568.t1	151	PROTEIN
g18569.t1	g18569.t1	473	PROTEIN
g18570.t1	g18570.t1	82	PROTEIN
g18571.t1	g18571.t1	78	PROTEIN
g18572.t1	g18572.t1	726	PROTEIN
g18573.t1	g18573.t1	369	PROTEIN
g18574.t1	g18574.t1	157	PROTEIN
g18575.t1	g18575.t1	240	PROTEIN
g18576.t1	g18576.t1	155	PROTEIN
g18577.t1	g18577.t1	206	PROTEIN
g18578.t1	g18578.t1	238	PROTEIN
g18579.t1	g18579.t1	85	PROTEIN
g18580.t1	g18580.t1	92	PROTEIN
g18581.t1	g18581.t1	172	PROTEIN
g18582.t1	g18582.t1	233	PROTEIN
g18583.t1	g18583.t1	142	PROTEIN
g18584.t1	g18584.t1	171	PROTEIN
g18585.t1	g18585.t1	211	PROTEIN
g18586.t1	g18586.t1	195	PROTEIN
g18587.t1	g18587.t1	672	PROTEIN
g18588.t1	g18588.t1	491	PROTEIN
g18589.t1	g18589.t1	414	PROTEIN
g18590.t1	g18590.t1	105	PROTEIN
g18591.t1	g18591.t1	77	PROTEIN
g18592.t1	g18592.t1	694	PROTEIN
g18593.t1	g18593.t1	66	PROTEIN
g18594.t1	g18594.t1	71	PROTEIN
g18595.t1	g18595.t1	22	PROTEIN
g18596.t1	g18596.t1	335	PROTEIN
g18597.t1	g18597.t1	1639	PROTEIN
g18598.t1	g18598.t1	89	PROTEIN
g18599.t1	g18599.t1	83	PROTEIN
g18600.t1	g18600.t1	213	PROTEIN
g18601.t1	g18601.t1	468	PROTEIN
g18602.t1	g18602.t1	359	PROTEIN
g18603.t1	g18603.t1	167	PROTEIN
g18604.t1	g18604.t1	207	PROTEIN
g18605.t1	g18605.t1	76	PROTEIN
g18606.t1	g18606.t1	1135	PROTEIN
g18607.t1	g18607.t1	1162	PROTEIN
g18608.t1	g18608.t1	241	PROTEIN
g18609.t1	g18609.t1	242	PROTEIN
g18610.t1	g18610.t1	685	PROTEIN
g18611.t1	g18611.t1	626	PROTEIN
g18612.t1	g18612.t1	167	PROTEIN
g18613.t1	g18613.t1	100	PROTEIN
g18614.t1	g18614.t1	641	PROTEIN
g18615.t1	g18615.t1	125	PROTEIN
g18616.t1	g18616.t1	406	PROTEIN
g18617.t1	g18617.t1	627	PROTEIN
g18618.t1	g18618.t1	91	PROTEIN
g18619.t1	g18619.t1	363	PROTEIN
g18620.t1	g18620.t1	599	PROTEIN
g18621.t1	g18621.t1	212	PROTEIN
g18622.t1	g18622.t1	260	PROTEIN
g18623.t1	g18623.t1	68	PROTEIN
g18624.t1	g18624.t1	325	PROTEIN
g18625.t1	g18625.t1	45	PROTEIN
g18626.t1	g18626.t1	246	PROTEIN
g18627.t1	g18627.t1	42	PROTEIN
g18628.t1	g18628.t1	113	PROTEIN
g18629.t1	g18629.t1	96	PROTEIN
g18630.t1	g18630.t1	181	PROTEIN
g18631.t1	g18631.t1	109	PROTEIN
g18632.t1	g18632.t1	189	PROTEIN
g18633.t1	g18633.t1	120	PROTEIN
g18634.t2	g18634.t2	573	PROTEIN
g18635.t1	g18635.t1	193	PROTEIN
g18636.t1	g18636.t1	243	PROTEIN
g18637.t1	g18637.t1	549	PROTEIN
g18638.t1	g18638.t1	375	PROTEIN
g18639.t1	g18639.t1	179	PROTEIN
g18640.t1	g18640.t1	190	PROTEIN
g18641.t1	g18641.t1	97	PROTEIN
g18642.t1	g18642.t1	120	PROTEIN
g18643.t1	g18643.t1	166	PROTEIN
g18644.t1	g18644.t1	690	PROTEIN
g18645.t1	g18645.t1	220	PROTEIN
g18646.t1	g18646.t1	259	PROTEIN
g18647.t1	g18647.t1	268	PROTEIN
g18648.t1	g18648.t1	375	PROTEIN
g18649.t1	g18649.t1	87	PROTEIN
g18650.t1	g18650.t1	405	PROTEIN
g18651.t1	g18651.t1	390	PROTEIN
g18652.t1	g18652.t1	668	PROTEIN
g18653.t2	g18653.t2	277	PROTEIN
g18654.t1	g18654.t1	1563	PROTEIN
g18655.t1	g18655.t1	256	PROTEIN
g18656.t2	g18656.t2	608	PROTEIN
g18657.t1	g18657.t1	985	PROTEIN
g18658.t1	g18658.t1	335	PROTEIN
g18659.t1	g18659.t1	382	PROTEIN
g18660.t1	g18660.t1	146	PROTEIN
g18661.t1	g18661.t1	87	PROTEIN
g18662.t1	g18662.t1	30	PROTEIN
g18663.t1	g18663.t1	162	PROTEIN
g18664.t1	g18664.t1	257	PROTEIN
g18665.t1	g18665.t1	227	PROTEIN
g18666.t1	g18666.t1	287	PROTEIN
g18667.t1	g18667.t1	148	PROTEIN
g18668.t1	g18668.t1	1214	PROTEIN
g18669.t1	g18669.t1	955	PROTEIN
g18670.t1	g18670.t1	379	PROTEIN
g18671.t1	g18671.t1	159	PROTEIN
g18672.t1	g18672.t1	525	PROTEIN
g18673.t1	g18673.t1	371	PROTEIN
g18674.t1	g18674.t1	426	PROTEIN
g18675.t1	g18675.t1	155	PROTEIN
g18676.t1	g18676.t1	362	PROTEIN
g18677.t1	g18677.t1	548	PROTEIN
g18678.t1	g18678.t1	347	PROTEIN
g18679.t1	g18679.t1	803	PROTEIN
g18680.t1	g18680.t1	244	PROTEIN
g18681.t1	g18681.t1	294	PROTEIN
g18682.t1	g18682.t1	595	PROTEIN
g18683.t1	g18683.t1	596	PROTEIN
g18684.t1	g18684.t1	415	PROTEIN
g18685.t1	g18685.t1	308	PROTEIN
g18686.t1	g18686.t1	294	PROTEIN
g18687.t1	g18687.t1	421	PROTEIN
g18688.t1	g18688.t1	291	PROTEIN
g18689.t1	g18689.t1	344	PROTEIN
g18690.t1	g18690.t1	347	PROTEIN
g18691.t1	g18691.t1	182	PROTEIN
g18692.t1	g18692.t1	399	PROTEIN
g18693.t1	g18693.t1	82	PROTEIN
g18694.t1	g18694.t1	312	PROTEIN
g18695.t1	g18695.t1	233	PROTEIN
g18696.t1	g18696.t1	111	PROTEIN
g18697.t1	g18697.t1	113	PROTEIN
g18698.t1	g18698.t1	157	PROTEIN
g18699.t1	g18699.t1	85	PROTEIN
g18700.t1	g18700.t1	203	PROTEIN
g18701.t1	g18701.t1	215	PROTEIN
g18702.t1	g18702.t1	136	PROTEIN
g18703.t1	g18703.t1	145	PROTEIN
g18704.t1	g18704.t1	643	PROTEIN
g18705.t1	g18705.t1	94	PROTEIN
g18706.t1	g18706.t1	120	PROTEIN
g18707.t2	g18707.t2	196	PROTEIN
g18708.t1	g18708.t1	135	PROTEIN
g18709.t2	g18709.t2	132	PROTEIN
g18710.t1	g18710.t1	183	PROTEIN
g18711.t1	g18711.t1	409	PROTEIN
g18712.t1	g18712.t1	98	PROTEIN
g18713.t1	g18713.t1	506	PROTEIN
g18714.t1	g18714.t1	1280	PROTEIN
g18715.t1	g18715.t1	403	PROTEIN
g18716.t1	g18716.t1	293	PROTEIN
g18717.t1	g18717.t1	241	PROTEIN
g18718.t1	g18718.t1	802	PROTEIN
g18719.t1	g18719.t1	384	PROTEIN
g18720.t2	g18720.t2	882	PROTEIN
g18721.t1	g18721.t1	52	PROTEIN
g18722.t1	g18722.t1	329	PROTEIN
g18723.t1	g18723.t1	372	PROTEIN
g18724.t3	g18724.t3	1139	PROTEIN
g18725.t1	g18725.t1	233	PROTEIN
g18726.t1	g18726.t1	77	PROTEIN
g18727.t1	g18727.t1	97	PROTEIN
g18728.t1	g18728.t1	827	PROTEIN
g18729.t1	g18729.t1	138	PROTEIN
g18730.t1	g18730.t1	198	PROTEIN
g18731.t1	g18731.t1	264	PROTEIN
g18732.t1	g18732.t1	634	PROTEIN
g18733.t1	g18733.t1	102	PROTEIN
g18734.t1	g18734.t1	136	PROTEIN
g18735.t1	g18735.t1	560	PROTEIN
g18736.t1	g18736.t1	1142	PROTEIN
g18737.t1	g18737.t1	68	PROTEIN
g18738.t1	g18738.t1	525	PROTEIN
g18739.t1	g18739.t1	572	PROTEIN
g18740.t1	g18740.t1	244	PROTEIN
g18741.t1	g18741.t1	123	PROTEIN
g18742.t1	g18742.t1	66	PROTEIN
g18743.t1	g18743.t1	81	PROTEIN
g18744.t2	g18744.t2	232	PROTEIN
g18745.t1	g18745.t1	152	PROTEIN
g18746.t1	g18746.t1	84	PROTEIN
g18747.t1	g18747.t1	85	PROTEIN
g18748.t1	g18748.t1	248	PROTEIN
g18749.t1	g18749.t1	117	PROTEIN
g18750.t1	g18750.t1	69	PROTEIN
g18751.t1	g18751.t1	91	PROTEIN
g18752.t1	g18752.t1	77	PROTEIN
g18753.t1	g18753.t1	410	PROTEIN
g18754.t1	g18754.t1	89	PROTEIN
g18755.t1	g18755.t1	114	PROTEIN
g18756.t1	g18756.t1	332	PROTEIN
g18757.t1	g18757.t1	121	PROTEIN
g18758.t1	g18758.t1	219	PROTEIN
g18759.t1	g18759.t1	144	PROTEIN
g18760.t1	g18760.t1	284	PROTEIN
g18761.t2	g18761.t2	718	PROTEIN
g18762.t2	g18762.t2	339	PROTEIN
g18763.t1	g18763.t1	594	PROTEIN
g18764.t1	g18764.t1	76	PROTEIN
g18765.t1	g18765.t1	720	PROTEIN
g18766.t1	g18766.t1	580	PROTEIN
g18767.t1	g18767.t1	505	PROTEIN
g18768.t1	g18768.t1	155	PROTEIN
g18769.t1	g18769.t1	571	PROTEIN
g18770.t1	g18770.t1	143	PROTEIN
g18771.t1	g18771.t1	164	PROTEIN
g18772.t1	g18772.t1	66	PROTEIN
g18773.t1	g18773.t1	436	PROTEIN
g18774.t1	g18774.t1	86	PROTEIN
g18775.t1	g18775.t1	96	PROTEIN
g18776.t1	g18776.t1	320	PROTEIN
g18777.t1	g18777.t1	619	PROTEIN
g18778.t1	g18778.t1	404	PROTEIN
g18779.t1	g18779.t1	263	PROTEIN
g18780.t1	g18780.t1	324	PROTEIN
g18781.t1	g18781.t1	455	PROTEIN
g18782.t1	g18782.t1	203	PROTEIN
g18783.t1	g18783.t1	278	PROTEIN
g18784.t1	g18784.t1	82	PROTEIN
g18785.t1	g18785.t1	532	PROTEIN
g18786.t1	g18786.t1	103	PROTEIN
g18787.t1	g18787.t1	558	PROTEIN
g18788.t1	g18788.t1	399	PROTEIN
g18789.t1	g18789.t1	205	PROTEIN
g18790.t1	g18790.t1	439	PROTEIN
g18791.t1	g18791.t1	141	PROTEIN
g18792.t1	g18792.t1	343	PROTEIN
g18793.t1	g18793.t1	317	PROTEIN
g18794.t1	g18794.t1	107	PROTEIN
g18795.t1	g18795.t1	130	PROTEIN
g18796.t1	g18796.t1	415	PROTEIN
g18797.t1	g18797.t1	551	PROTEIN
g18798.t1	g18798.t1	372	PROTEIN
g18799.t1	g18799.t1	112	PROTEIN
g18800.t1	g18800.t1	215	PROTEIN
g18801.t1	g18801.t1	97	PROTEIN
g18802.t2	g18802.t2	419	PROTEIN
g18803.t1	g18803.t1	132	PROTEIN
g18804.t1	g18804.t1	168	PROTEIN
g18805.t1	g18805.t1	419	PROTEIN
g18806.t1	g18806.t1	124	PROTEIN
g18807.t1	g18807.t1	144	PROTEIN
g18808.t1	g18808.t1	342	PROTEIN
g18809.t1	g18809.t1	140	PROTEIN
g18810.t1	g18810.t1	481	PROTEIN
g18811.t1	g18811.t1	180	PROTEIN
g18812.t1	g18812.t1	86	PROTEIN
g18813.t2	g18813.t2	465	PROTEIN
g18814.t1	g18814.t1	74	PROTEIN
g18815.t1	g18815.t1	83	PROTEIN
g18816.t1	g18816.t1	88	PROTEIN
g18817.t1	g18817.t1	189	PROTEIN
g18818.t1	g18818.t1	71	PROTEIN
g18819.t1	g18819.t1	152	PROTEIN
g18820.t1	g18820.t1	153	PROTEIN
g18821.t1	g18821.t1	86	PROTEIN
g18822.t1	g18822.t1	968	PROTEIN
g18823.t1	g18823.t1	423	PROTEIN
g18824.t1	g18824.t1	225	PROTEIN
g18825.t1	g18825.t1	83	PROTEIN
g18826.t1	g18826.t1	253	PROTEIN
g18827.t1	g18827.t1	176	PROTEIN
g18828.t1	g18828.t1	235	PROTEIN
g18829.t1	g18829.t1	68	PROTEIN
g18830.t1	g18830.t1	335	PROTEIN
g18831.t1	g18831.t1	462	PROTEIN
g18832.t1	g18832.t1	112	PROTEIN
g18833.t1	g18833.t1	692	PROTEIN
g18834.t2	g18834.t2	662	PROTEIN
g18835.t1	g18835.t1	487	PROTEIN
g18836.t1	g18836.t1	833	PROTEIN
g18837.t1	g18837.t1	883	PROTEIN
g18838.t1	g18838.t1	90	PROTEIN
g18839.t3	g18839.t3	416	PROTEIN
g18840.t1	g18840.t1	116	PROTEIN
g18841.t1	g18841.t1	81	PROTEIN
g18842.t1	g18842.t1	210	PROTEIN
g18843.t1	g18843.t1	92	PROTEIN
g18844.t1	g18844.t1	101	PROTEIN
g18845.t1	g18845.t1	265	PROTEIN
g18846.t1	g18846.t1	293	PROTEIN
g18847.t1	g18847.t1	484	PROTEIN
g18848.t1	g18848.t1	89	PROTEIN
g18849.t1	g18849.t1	343	PROTEIN
g18850.t1	g18850.t1	302	PROTEIN
g18851.t1	g18851.t1	522	PROTEIN
g18852.t1	g18852.t1	428	PROTEIN
g18853.t1	g18853.t1	95	PROTEIN
g18854.t1	g18854.t1	95	PROTEIN
g18855.t1	g18855.t1	204	PROTEIN
g18856.t1	g18856.t1	292	PROTEIN
g18857.t1	g18857.t1	199	PROTEIN
g18858.t1	g18858.t1	223	PROTEIN
g18859.t1	g18859.t1	254	PROTEIN
g18860.t1	g18860.t1	71	PROTEIN
g18861.t1	g18861.t1	155	PROTEIN
g18862.t1	g18862.t1	185	PROTEIN
g18863.t1	g18863.t1	90	PROTEIN
g18864.t1	g18864.t1	407	PROTEIN
g18865.t1	g18865.t1	109	PROTEIN
g18866.t1	g18866.t1	333	PROTEIN
g18867.t1	g18867.t1	167	PROTEIN
g18868.t1	g18868.t1	381	PROTEIN
g18869.t1	g18869.t1	300	PROTEIN
g18870.t1	g18870.t1	125	PROTEIN
g18871.t1	g18871.t1	151	PROTEIN
g18872.t1	g18872.t1	123	PROTEIN
g18873.t1	g18873.t1	188	PROTEIN
g18874.t1	g18874.t1	84	PROTEIN
g18875.t1	g18875.t1	134	PROTEIN
g18876.t1	g18876.t1	657	PROTEIN
g18877.t1	g18877.t1	367	PROTEIN
g18878.t2	g18878.t2	523	PROTEIN
g18879.t1	g18879.t1	66	PROTEIN
g18880.t2	g18880.t2	501	PROTEIN
g18881.t1	g18881.t1	117	PROTEIN
g18882.t1	g18882.t1	125	PROTEIN
g18883.t1	g18883.t1	461	PROTEIN
g18884.t1	g18884.t1	214	PROTEIN
g18885.t1	g18885.t1	96	PROTEIN
g18886.t1	g18886.t1	332	PROTEIN
g18887.t1	g18887.t1	1714	PROTEIN
g18888.t1	g18888.t1	374	PROTEIN
g18889.t1	g18889.t1	263	PROTEIN
g18890.t1	g18890.t1	461	PROTEIN
g18891.t1	g18891.t1	259	PROTEIN
g18892.t1	g18892.t1	99	PROTEIN
g18893.t1	g18893.t1	707	PROTEIN
g18894.t1	g18894.t1	112	PROTEIN
g18895.t1	g18895.t1	533	PROTEIN
g18896.t1	g18896.t1	1054	PROTEIN
g18897.t1	g18897.t1	519	PROTEIN
g18898.t1	g18898.t1	861	PROTEIN
g18899.t1	g18899.t1	90	PROTEIN
g18900.t1	g18900.t1	304	PROTEIN
g18901.t1	g18901.t1	450	PROTEIN
g18902.t1	g18902.t1	472	PROTEIN
g18903.t1	g18903.t1	95	PROTEIN
g18904.t1	g18904.t1	536	PROTEIN
g18905.t1	g18905.t1	438	PROTEIN
g18906.t1	g18906.t1	432	PROTEIN
g18907.t1	g18907.t1	96	PROTEIN
g18908.t1	g18908.t1	301	PROTEIN
g18909.t1	g18909.t1	355	PROTEIN
g18910.t1	g18910.t1	328	PROTEIN
g18911.t1	g18911.t1	37	PROTEIN
g18912.t1	g18912.t1	657	PROTEIN
g18913.t1	g18913.t1	1376	PROTEIN
g18914.t1	g18914.t1	624	PROTEIN
g18915.t1	g18915.t1	352	PROTEIN
g18916.t1	g18916.t1	502	PROTEIN
g18917.t1	g18917.t1	184	PROTEIN
g18918.t1	g18918.t1	257	PROTEIN
g18919.t1	g18919.t1	183	PROTEIN
g18920.t1	g18920.t1	477	PROTEIN
g18921.t1	g18921.t1	893	PROTEIN
g18922.t1	g18922.t1	474	PROTEIN
g18923.t1	g18923.t1	949	PROTEIN
g18924.t1	g18924.t1	141	PROTEIN
g18925.t1	g18925.t1	554	PROTEIN
g18926.t1	g18926.t1	72	PROTEIN
g18927.t2	g18927.t2	488	PROTEIN
g18928.t1	g18928.t1	397	PROTEIN
g18929.t1	g18929.t1	556	PROTEIN
g18930.t1	g18930.t1	851	PROTEIN
g18931.t1	g18931.t1	94	PROTEIN
g18932.t1	g18932.t1	107	PROTEIN
g18933.t1	g18933.t1	117	PROTEIN
g18934.t1	g18934.t1	135	PROTEIN
g18935.t1	g18935.t1	168	PROTEIN
g18936.t1	g18936.t1	482	PROTEIN
g18937.t1	g18937.t1	210	PROTEIN
g18938.t1	g18938.t1	94	PROTEIN
g18939.t1	g18939.t1	2567	PROTEIN
g18940.t1	g18940.t1	330	PROTEIN
g18941.t1	g18941.t1	720	PROTEIN
g18942.t1	g18942.t1	105	PROTEIN
g18943.t1	g18943.t1	427	PROTEIN
g18944.t1	g18944.t1	90	PROTEIN
g18945.t1	g18945.t1	211	PROTEIN
g18946.t1	g18946.t1	625	PROTEIN
g18947.t1	g18947.t1	156	PROTEIN
g18948.t1	g18948.t1	389	PROTEIN
g18949.t1	g18949.t1	632	PROTEIN
g18950.t1	g18950.t1	234	PROTEIN
g18951.t1	g18951.t1	212	PROTEIN
g18952.t1	g18952.t1	145	PROTEIN
g18953.t1	g18953.t1	1362	PROTEIN
g18954.t1	g18954.t1	201	PROTEIN
g18955.t1	g18955.t1	402	PROTEIN
g18956.t1	g18956.t1	358	PROTEIN
g18957.t1	g18957.t1	419	PROTEIN
g18958.t1	g18958.t1	473	PROTEIN
g18959.t2	g18959.t2	1561	PROTEIN
g18960.t1	g18960.t1	128	PROTEIN
g18961.t1	g18961.t1	237	PROTEIN
g18962.t1	g18962.t1	1494	PROTEIN
g18963.t1	g18963.t1	377	PROTEIN
g18964.t1	g18964.t1	100	PROTEIN
g18965.t1	g18965.t1	152	PROTEIN
g18966.t1	g18966.t1	263	PROTEIN
g18967.t1	g18967.t1	228	PROTEIN
g18968.t1	g18968.t1	374	PROTEIN
g18969.t1	g18969.t1	113	PROTEIN
g18970.t1	g18970.t1	206	PROTEIN
g18971.t1	g18971.t1	96	PROTEIN
g18972.t1	g18972.t1	701	PROTEIN
g18973.t1	g18973.t1	119	PROTEIN
g18974.t1	g18974.t1	865	PROTEIN
g18975.t1	g18975.t1	217	PROTEIN
g18976.t1	g18976.t1	100	PROTEIN
g18977.t1	g18977.t1	100	PROTEIN
g18978.t1	g18978.t1	116	PROTEIN
g18979.t1	g18979.t1	116	PROTEIN
g18980.t1	g18980.t1	376	PROTEIN
g18981.t1	g18981.t1	116	PROTEIN
g18982.t1	g18982.t1	151	PROTEIN
g18983.t1	g18983.t1	97	PROTEIN
g18984.t1	g18984.t1	315	PROTEIN
g18985.t1	g18985.t1	817	PROTEIN
g18986.t2	g18986.t2	209	PROTEIN
g18987.t1	g18987.t1	424	PROTEIN
g18988.t1	g18988.t1	662	PROTEIN
g18989.t1	g18989.t1	132	PROTEIN
g18990.t1	g18990.t1	331	PROTEIN
g18991.t1	g18991.t1	93	PROTEIN
g18992.t1	g18992.t1	161	PROTEIN
g18993.t1	g18993.t1	287	PROTEIN
g18994.t1	g18994.t1	96	PROTEIN
g18995.t1	g18995.t1	408	PROTEIN
g18996.t1	g18996.t1	598	PROTEIN
g18997.t1	g18997.t1	493	PROTEIN
g18998.t1	g18998.t1	472	PROTEIN
g18999.t1	g18999.t1	334	PROTEIN
g19000.t1	g19000.t1	169	PROTEIN
g19001.t1	g19001.t1	660	PROTEIN
g19002.t1	g19002.t1	404	PROTEIN
g19003.t1	g19003.t1	192	PROTEIN
g19004.t1	g19004.t1	1421	PROTEIN
g19005.t1	g19005.t1	257	PROTEIN
g19006.t1	g19006.t1	300	PROTEIN
g19007.t1	g19007.t1	484	PROTEIN
g19008.t1	g19008.t1	99	PROTEIN
g19009.t1	g19009.t1	270	PROTEIN
g19010.t1	g19010.t1	419	PROTEIN
g19011.t1	g19011.t1	81	PROTEIN
g19012.t1	g19012.t1	83	PROTEIN
g19013.t1	g19013.t1	164	PROTEIN
g19014.t1	g19014.t1	495	PROTEIN
g19015.t1	g19015.t1	215	PROTEIN
g19016.t1	g19016.t1	164	PROTEIN
g19017.t1	g19017.t1	535	PROTEIN
g19018.t1	g19018.t1	468	PROTEIN
g19019.t1	g19019.t1	455	PROTEIN
g19020.t1	g19020.t1	477	PROTEIN
g19021.t1	g19021.t1	323	PROTEIN
g19022.t1	g19022.t1	627	PROTEIN
